"studyName","Event","Cast Number","Bottle","Depth (m)","Datetime GMT","Latitude (º)","Longitude (º)","Nominal Station","Grid Line","Grid Station","Irradiance (%)","Chlorophyll (mg/m³)","Phaeopigment (mg/m³)","Filter Code","Platform","Sampling Device","Notes"
PD91-09,-999,,,0,"1991-11-14 18:56:00",-63.85133,-64.1815,,700,110,,0.206,0.06,1,0,0,
PD91-09,-999,,,0,"1991-11-14 23:22:00",-63.732,-64.44417,,700,130,,0.172,0.072,1,0,0,
PD91-09,-999,,,0,"1991-11-16 00:23:00",-63.67833,-64.89167,,680,160,,0.187,0.086,1,0,0,NOT_filtered_when_taken.__Left_exposed_before_filtering._Filtered_at_0312
PD91-09,-999,,,0,"1991-11-16 01:39:00",-63.82333,-65.455,,660,160,,0.252,0.097,1,0,0,NOT_filtered_when_taken.__Left_exposed_before_filtering._Filtered_at_0312
PD91-09,-999,,,0,"1991-11-16 02:43:00",-63.95,-65.71833,,640,160,,0.266,0.101,1,0,0,NOT_filtered_when_taken.__Left_exposed_before_filtering._Filtered_at_0312
PD91-09,-999,,,0,"1991-11-16 03:10:00",-64.02833,-65.86,,,,,0.223,0.078,1,0,0,no_XBT
PD91-09,-999,,,0,"1991-11-16 03:45:00",-64.08833,-66.01667,,620,160,,0.28,0.077,1,0,0,
PD91-09,-999,,,0,"1991-11-16 09:50:00",-64.34,-66.5,,580,160,,0.259,0.089,1,0,0,XBT
PD91-09,-999,,,0,"1991-11-16 10:58:00",-64.475,-66.86333,,560,160,,0.438,0.088,1,0,0,xbt
PD91-09,-999,,,0,"1991-11-16 11:49:00",-64.585,-67.11,,540,160,,0.446,0.119,1,0,0,xbt
PD91-09,-999,,,0,"1991-11-16 12:56:00",-64.72633,-67.41883,,520,160,,0.482,0.074,1,0,0,xbt
PD91-09,-999,,,0,"1991-11-16 17:56:00",-64.90883,-67.50267,,500,150,,0.496,0.069,1,0,0,xbt
PD91-09,-999,,,0,"1991-11-16 23:32:00",-65.0395,-67.219,,500,130,,0.467,0.088,1,0,0,grid_500.140
PD91-09,-999,,,0,"1991-11-17 05:13:00",-65.15,-66.9,,500,110,,0.561,0.089,1,0,0,xbt_500.110
PD91-09,-999,,,0,"1991-11-18 22:26:00",-64.3975,-65.80783,,600,130,,0.158,0.049,1,0,0,xbt_atrack_600.130
PD91-09,-999,,,0,"1991-11-19 04:07:00",-64.52833,-65.46,,600,110,,0.18,0.037,1,0,0,xbt_atrack_grid_600.110
PD91-09,-999,,,0,"1991-11-19 08:15:00",-64.61667,-65.16667,,600,090,,0.139,0.031,1,0,0,XBT-Atrack_Grid_600.090
PD91-09,-999,,,0,"1991-11-19 13:55:00",-64.71667,-64.81667,,600,070,,0.553,0.115,1,0,0,XBT-Atrack
PD91-09,1,,12,2.14998,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.397,0.097,1,0,0,
PD91-09,1,,11,10.485,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.298,0.083,1,0,0,
PD91-09,1,,10,20.449,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.265,0.108,1,0,0,
PD91-09,1,,9,40.5466,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.284,0.123,1,0,0,
PD91-09,1,,8,60.4767,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.172,0.079,1,0,0,
PD91-09,1,,7,80.5597,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.107,0.058,1,0,0,
PD91-09,1,,6,90.6501,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.088,0.046,1,0,0,
PD91-09,1,,5,110.622,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.093,0.06,1,0,0,
PD91-09,1,,4,130.729,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.069,0.055,1,0,0,
PD91-09,1,,3,140.935,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.074,0.051,1,0,0,
PD91-09,1,,2,160.894,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.038,0.03,1,0,0,
PD91-09,1,,1,200.257,"1991-11-07 00:36:00",-64.83333,-64.05,,621,035,,0.019,0.031,1,0,0,
PD91-09,2,,,0,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.55,0.149,1,0,0,
PD91-09,2,,12,1.62607,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.284,0.088,1,0,0,
PD91-09,2,,11,5.344,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.265,0.108,1,0,0,
PD91-09,2,,10,10.6294,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.278,0.112,1,0,0,
PD91-09,2,,9,20.3587,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.245,0.119,1,0,0,
PD91-09,2,,8,30.5771,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.232,0.106,1,0,0,
PD91-09,2,,7,40.5647,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.238,0.117,1,0,0,
PD91-09,2,,6,60.5299,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.172,0.088,1,0,0,
PD91-09,2,,5,70.0794,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.119,0.08,1,0,0,
PD91-09,2,,4,80.4891,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.121,0.075,1,0,0,
PD91-09,2,,3,110.427,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.045,0.036,1,0,0,
PD91-09,2,,2,150.12,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.021,0.028,1,0,0,
PD91-09,2,,1,200.555,"1991-11-07 07:42:00",-64.9,-64.28333,,606,037,,0.024,0.029,1,0,0,
