"studyName","Event","Cast","Bottle","Datetime GMT","Station Name","Line","Station","Latitude (º)","Longitude (º)","Irradiance (%)","Depth (m)","[PO4]3- (µmol/L)","[SiO4]4- (µmol/L)","[NO2]- (µmol/L)","[NO3]- (µmol/L)","[NH4]+ (µmol/L)","Nitrite and Nitrate (µmol/L)","Notes"
PD91-09,1,,12,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,2.2,,,,,,,
PD91-09,1,,11,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,10.5,,,,,,,
PD91-09,1,,10,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,20.5,,,,,,,
PD91-09,1,,9,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,40.5,,,,,,,
PD91-09,1,,8,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,60.5,,,,,,,
PD91-09,1,,7,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,80.6,,,,,,,
PD91-09,1,,6,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,91,,,,,,,
PD91-09,1,,5,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,110.6,,,,,,,
PD91-09,1,,4,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,130.7,,,,,,,
PD91-09,1,,3,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,140.9,,,,,,,
PD91-09,1,,2,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,160.9,,,,,,,
PD91-09,1,,1,"1991-11-07 00:36:00",619.035,618.842,34.5682,-64.83818333,-64.05165,,200.3,,,,,,,
PD91-09,2,,12,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,1.6,1.9,30,0,20.1,17.6,20.1,
PD91-09,2,,11,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,5.3,1.3,35.4,0.3,25.9,20.3,26.2,
PD91-09,2,,10,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,10.6,1.4,58,0.2,22.8,25.6,23,
PD91-09,2,,9,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,20.3,1.9,50.5,0.2,22.9,23.1,23.1,
PD91-09,2,,8,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,30.6,1.9,42.1,0.3,24.7,20.1,25,
PD91-09,2,,7,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,40.6,1.6,38.7,0.1,17.6,16.3,17.7,
PD91-09,2,,6,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,60.5,2,53,0.1,18.7,35.8,18.8,
PD91-09,2,,5,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,70.1,1.9,42.1,,21.5,19.9,,
PD91-09,2,,4,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,80.5,2.1,47.9,0,23.8,29.5,23.8,
PD91-09,2,,3,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,110.4,,,,,,,
PD91-09,2,,2,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,150.1,,,,,,,
PD91-09,2,,1,"1991-11-07 07:30:00",607.04,607.074,39.5924,-64.88833333,-64.295,,200.6,,,,,,,
PD91-09,3,,12,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,1.3,,,,,,,
PD91-09,3,,11,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,5,,,,,,,
PD91-09,3,,10,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,10.2,,,,,,,
PD91-09,3,,9,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,19.9,,,,,,,
PD91-09,3,,8,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,30.2,,,,,,,
PD91-09,3,,7,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,39.9,,,,,,,
PD91-09,3,,6,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,40.1,,,,,,,
PD91-09,3,,5,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,60.4,,,,,,,
PD91-09,3,,4,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,80,,,,,,,
PD91-09,3,,3,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,110.3,,,,,,,
PD91-09,3,,2,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,150.2,,,,,,,
PD91-09,3,,1,"1991-11-07 10:25:00",607.04,607.074,39.5924,-64.88833333,-64.295,,200.4,,,,,,,
PD91-09,4,,12,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,1.2,1.9,78.2,0,21.5,0.2,21.5,
PD91-09,4,,11,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,5,1.8,46.7,0.1,20,29.4,20.1,
PD91-09,4,,10,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,10.2,2.1,72.6,0.1,27.7,1.1,27.8,
PD91-09,4,,9,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,20.7,2.5,67,0.1,28.9,1.4,29,
PD91-09,4,,8,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,30.6,1.8,37.1,0.2,21.5,28.5,21.7,
PD91-09,4,,7,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,39.6,2.1,48.4,0.3,22.4,40,22.7,
PD91-09,4,,6,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,60,2.1,52.4,0.2,22.6,26.8,22.8,
PD91-09,4,,5,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,75.2,,,,,,,
PD91-09,4,,4,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,80,1.9,46.3,0.1,25.4,31.9,25.5,
PD91-09,4,,3,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,109.9,,,,,,,
PD91-09,4,,2,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,150.7,2.5,66.5,0.1,30.3,41.9,30.4,
PD91-09,4,,1,"1991-11-07 13:33:00",607.04,607.074,39.5924,-64.88833333,-64.295,,200.2,,,,,,,
PD91-09,6,,12,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,0.9,1.8,58.8,0.1,20.4,27.9,20.5,
PD91-09,6,,11,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,5.1,1.9,67.3,0.4,35.1,27.9,35.5,
PD91-09,6,,10,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,10.7,2.1,63.7,0.2,27.4,25.6,27.6,
PD91-09,6,,9,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,20.2,1.5,47.3,0.1,21.3,7.5,21.4,
PD91-09,6,,8,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,30.2,1.9,45.8,0.2,26.1,14.7,26.3,
PD91-09,6,,7,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,40.3,1.9,48.5,0.1,26.7,37.7,26.8,
PD91-09,6,,6,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,60.4,1.9,48.7,0.1,23.1,24,23.2,
PD91-09,6,,5,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,74.9,1.8,43.6,0.2,23.1,20.3,23.3,
PD91-09,6,,4,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,80.2,2.4,27.8,0.1,29,12.6,29.1,
PD91-09,6,,3,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,110.2,,,,,,,
PD91-09,6,,2,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,150.6,,,,,,,
PD91-09,6,,1,"1991-11-07 16:24:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,200,,,,,,,
PD91-09,7,,12,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,0.9,,,,,,,
PD91-09,7,,11,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,5.4,,,,,,,
PD91-09,7,,10,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,10.6,,,,,,,
PD91-09,7,,9,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,20.4,,,,,,,
PD91-09,7,,8,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,30.2,,,,,,,
PD91-09,7,,7,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,40.4,,,,,,,
PD91-09,7,,6,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,59.3,,,,,,,
PD91-09,7,,5,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,75,,,,,,,
PD91-09,7,,4,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,80.2,,,,,,,
PD91-09,7,,3,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,111.2,,,,,,,
PD91-09,7,,2,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,150.2,,,,,,,
PD91-09,7,,1,"1991-11-07 19:29:00",606.04,605.607,38.5609,-64.9036,-64.29863333,,200.7,,,,,,,
PD91-09,9,,12,"1991-11-07 22:19:00",606.04,604.941,38.984,-64.90616667,-64.31466667,,0.9,1.9,52.5,0.2,22.2,3.7,22.4,
PD91-09,9,,11,"1991-11-07 22:19:00",606.04,604.941,38.984,-64.90616667,-64.31466667,,3.6,1.6,48.4,0.2,17.5,35.5,17.7,
