"studyName","event number","datetime GMT","grid line","grid station","lat dec (º)","lon dec (º)","station name","bottle number","depth (m)","O2 (ml/L)","O2 (µmol/L)","comments (rec)"
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,71,,,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,60.4,7.138,318.659,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,49.9,7.355,328.362,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,39.9,7.594,339.027,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,35,7.748,345.896,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,30.2,7.859,350.842,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,25.1,7.917,353.458,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,19.9,7.987,356.579,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,14.8,7.99,356.698,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,10.1,8.044,359.115,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,5,8.151,363.872,
PD93-01,1,"1993-01-08 09:20:00",,,-64.77833,-64.068,PalmerB,,1.7,8.13,362.963,
PD93-01,3,"1993-01-08 12:14:00",,,-64.78817,-64.07367,PalmerC,,2.1,8.129,362.921,
PD93-01,4,"1993-01-08 13:35:00",,,-64.80567,-64.05033,PalmerD,,1.5,8.159,364.248,
PD93-01,4,"1993-01-08 13:35:00",,,-64.80567,-64.05033,PalmerD,,1.5,8.155,364.056,
PD93-01,4,"1993-01-08 13:35:00",,,-64.80567,-64.05033,PalmerD,,1.5,8.153,363.959,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,55.4,7.165,319.879,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,39.8,7.712,344.281,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,29.9,7.969,355.747,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,19.9,8.078,360.629,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,14.9,8.063,359.937,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,9.9,8.044,359.106,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,4.8,8.035,358.718,
PD93-01,5,"1993-01-08 15:12:00",,,-64.81383,-64.03967,PalmerE,,1.7,7.969,355.742,
PD93-01,6,"1993-01-08 16:50:00",,,-64.80783,-64.07367,PalmerF,,2.4,8.03,358.472,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,60.1,7.248,323.566,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,40.2,7.709,344.168,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,30.3,7.833,349.676,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,25.3,7.881,351.83,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,19.3,7.95,354.918,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,10,8.044,359.097,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,5.1,8.056,359.658,
PD93-01,7,"1993-01-08 18:40:00",,,-64.80033,-64.1005,PalmerG,,1,8.043,359.044,
PD93-01,8,"1993-01-08 19:51:00",,,-64.79033,-64.1275,PalmerH,,1,8.035,358.707,
PD93-01,9,"1993-01-08 21:25:00",,,-64.7755,-64.13267,PalmerI,,1,8.087,361.011,
PD93-01,10,"1993-01-08 23:00:00",,,-64.76633,-64.13217,PalmerJ,,10,8.257,368.609,
PD93-01,10,"1993-01-08 23:00:00",,,-64.76633,-64.13217,PalmerJ,,1,8.217,366.838,
PD93-01,20,"1993-01-09 09:36:00",600,040,-64.93267,-64.39867,,,1.3,7.893,352.35,
PD93-01,20,"1993-01-09 09:36:00",600,040,-64.93267,-64.39867,,,10.7,7.874,351.507,
PD93-01,20,"1993-01-09 09:36:00",600,040,-64.93267,-64.39867,,,20.5,7.923,353.694,
