"studyName","Event Number","Datetime GMT","Latitude dec. deg. (º)","Longitude dec. deg. (º)","Julian day","Station name","Percent_Irradiance (%)","Depth (m)","Primary Prod. (mg/m³/day)","Prim Prod STD (mg/m³/day)","Notes"
PAL9495,,"1994-11-22 16:00:00",-64.77945,-64.07278,326,b,100,1,28.99,12.77,
PAL9495,,"1994-11-22 16:00:00",-64.77945,-64.07278,326,b,55,2,22.15,4.87,
PAL9495,,"1994-11-22 16:00:00",-64.77945,-64.07278,326,b,27,11,40.79,3.74,
PAL9495,,"1994-11-22 16:00:00",-64.77945,-64.07278,326,b,11,18.5,45.62,-999,
PAL9495,,"1994-11-22 16:00:00",-64.77945,-64.07278,326,b,5,26.5,18.44,1.29,
PAL9495,,"1994-11-22 16:00:00",-64.77945,-64.07278,326,b,2,37,7.93,1.64,
PAL9495,,"1994-11-22 15:00:00",-64.78833,-64.07278,326,c,100,1,25.48,1.14,
PAL9495,,"1994-11-22 15:00:00",-64.78833,-64.07278,326,c,55,1.5,34.64,5.79,
PAL9495,,"1994-11-22 15:00:00",-64.78833,-64.07278,326,c,27,9.5,44.19,2.48,
PAL9495,,"1994-11-22 15:00:00",-64.78833,-64.07278,326,c,11,18,45.17,-999,
PAL9495,,"1994-11-22 15:00:00",-64.78833,-64.07278,326,c,5,25.5,26.99,2.91,
PAL9495,,"1994-11-22 15:00:00",-64.78833,-64.07278,326,c,2,33,13.05,2.03,
PAL9495,,"1994-11-22 14:10:00",-64.80667,-64.05028,326,d,100,1,16.02,0.56,
PAL9495,,"1994-11-22 14:10:00",-64.80667,-64.05028,326,d,55,5,34.21,9.86,
PAL9495,,"1994-11-22 14:10:00",-64.80667,-64.05028,326,d,27,16,20.93,-999,
PAL9495,,"1994-11-22 14:10:00",-64.80667,-64.05028,326,d,11,30,26.24,-999,
PAL9495,,"1994-11-22 14:10:00",-64.80667,-64.05028,326,d,5,42,9.2,0.92,
PAL9495,,"1994-11-22 14:10:00",-64.80667,-64.05028,326,d,2,58,4.32,0.83,
PAL9495,,"1994-11-22 13:15:00",-64.815,-64.04083,326,e,100,1,11.82,0.31,
PAL9495,,"1994-11-22 13:15:00",-64.815,-64.04083,326,e,55,2,14.54,0.07,
PAL9495,,"1994-11-22 13:15:00",-64.815,-64.04083,326,e,27,17,10.77,1,
PAL9495,,"1994-11-22 13:15:00",-64.815,-64.04083,326,e,11,31,9.68,-999,
PAL9495,,"1994-11-22 13:15:00",-64.815,-64.04083,326,e,5,43.5,7.08,0.44,
PAL9495,,"1994-11-22 13:15:00",-64.815,-64.04083,326,e,2,58,4.87,1.08,
PAL9495,,"1994-11-29 13:40:00",-64.77472,-64.06,333,pal1,100,1,4.54,0.07,
PAL9495,,"1994-11-29 13:40:00",-64.77472,-64.06,333,pal1,55,2.5,10.42,3.03,
PAL9495,,"1994-11-29 13:40:00",-64.77472,-64.06,333,pal1,27,3.5,16.69,-999,
PAL9495,,"1994-11-29 13:40:00",-64.77472,-64.06,333,pal1,11,5,113.46,-999,
PAL9495,,"1994-11-29 13:40:00",-64.77472,-64.06,333,pal1,5,6.5,47.72,13.19,
PAL9495,,"1994-11-29 13:40:00",-64.77472,-64.06,333,pal1,2,14.5,8.73,1.29,
PAL9495,,"1994-11-29 14:20:00",-64.7725,-64.06028,333,pal2,100,1,6.7,1.49,
PAL9495,,"1994-11-29 14:20:00",-64.7725,-64.06028,333,pal2,55,2,7.7,0.29,
PAL9495,,"1994-11-29 14:20:00",-64.7725,-64.06028,333,pal2,27,3.5,53.74,4.9,
PAL9495,,"1994-11-29 14:20:00",-64.7725,-64.06028,333,pal2,11,5.5,53.92,-999,
PAL9495,,"1994-11-29 14:20:00",-64.7725,-64.06028,333,pal2,5,11.5,15.18,1.48,
PAL9495,,"1994-11-29 14:20:00",-64.7725,-64.06028,333,pal2,2,20,6.61,0.69,
PAL9495,,"1994-12-05 14:00:00",-64.78138,-64.08055,339,b,100,1,88.69,23.29,
PAL9495,,"1994-12-05 14:00:00",-64.78138,-64.08055,339,b,55,5,72.55,4.48,
PAL9495,,"1994-12-05 14:00:00",-64.78138,-64.08055,339,b,27,11,18.06,5.79,
PAL9495,,"1994-12-05 14:00:00",-64.78138,-64.08055,339,b,11,21,8.6,-999,
PAL9495,,"1994-12-05 14:00:00",-64.78138,-64.08055,339,b,5,33,7.46,0.28,
PAL9495,,"1994-12-05 14:00:00",-64.78138,-64.08055,339,b,2,45,2.92,1.08,
PAL9495,,"1994-12-05 14:45:00",-64.78805,-64.075,339,c,100,1,35.31,1.13,
PAL9495,,"1994-12-05 14:45:00",-64.78805,-64.075,339,c,55,11,12.06,1.41,
PAL9495,,"1994-12-05 14:45:00",-64.78805,-64.075,339,c,27,20,9.93,4,
PAL9495,,"1994-12-05 14:45:00",-64.78805,-64.075,339,c,11,33,7.11,-999,
PAL9495,,"1994-12-05 14:45:00",-64.78805,-64.075,339,c,5,46,3.41,1.17,
PAL9495,,"1994-12-05 14:45:00",-64.78805,-64.075,339,c,2,60,1.4,0.25,
PAL9495,,"1994-12-05 16:20:00",-64.80667,-64.05167,339,d,100,1,33.5,0.38,
PAL9495,,"1994-12-05 16:20:00",-64.80667,-64.05167,339,d,55,6,44.75,11.44,
PAL9495,,"1994-12-05 16:20:00",-64.80667,-64.05167,339,d,27,14,12.54,0.05,
PAL9495,,"1994-12-05 16:20:00",-64.80667,-64.05167,339,d,11,26,6.08,-999,
PAL9495,,"1994-12-05 16:20:00",-64.80667,-64.05167,339,d,5,40,3.59,0.05,
PAL9495,,"1994-12-05 16:20:00",-64.80667,-64.05167,339,d,2,52,2.61,0.46,
PAL9495,,"1994-12-05 17:10:00",-64.81667,-64.04167,339,e,100,1,33.32,0.69,
PAL9495,,"1994-12-05 17:10:00",-64.81667,-64.04167,339,e,55,4,41.58,7.02,
PAL9495,,"1994-12-05 17:10:00",-64.81667,-64.04167,339,e,27,11,20.91,8.57,
PAL9495,,"1994-12-05 17:10:00",-64.81667,-64.04167,339,e,11,23,7.55,-999,
PAL9495,,"1994-12-05 17:10:00",-64.81667,-64.04167,339,e,5,35,4.7,1.07,
PAL9495,,"1994-12-05 17:10:00",-64.81667,-64.04167,339,e,2,51,2.41,0.02,
PAL9495,,"1994-12-08 13:35:00",-64.81333,-64.07,342,b,100,1,1.79,1.78,
PAL9495,,"1994-12-08 13:35:00",-64.81333,-64.07,342,b,55,2.5,15.27,0.46,
PAL9495,,"1994-12-08 13:35:00",-64.81333,-64.07,342,b,27,6,40.8,0.98,
PAL9495,,"1994-12-08 13:35:00",-64.81333,-64.07,342,b,11,11,43.27,-999,
PAL9495,,"1994-12-08 13:35:00",-64.81333,-64.07,342,b,5,19.5,27.73,3.38,
PAL9495,,"1994-12-08 13:35:00",-64.81333,-64.07,342,b,2,29.5,19.14,0.4,
PAL9495,,"1994-12-15 16:00:00",-64.81333,-64.07,349,b,100,1,49.06,14.87,
PAL9495,,"1994-12-15 16:00:00",-64.81333,-64.07,349,b,55,3.5,128.72,40.18,
PAL9495,,"1994-12-15 16:00:00",-64.81333,-64.07,349,b,27,9,59.84,0.19,
PAL9495,,"1994-12-15 16:00:00",-64.81333,-64.07,349,b,11,17,45.09,-999,
PAL9495,,"1994-12-15 16:00:00",-64.81333,-64.07,349,b,5,26.5,25.98,0.66,
PAL9495,,"1994-12-15 16:00:00",-64.81333,-64.07,349,b,2,39,13.9,1.26,
PAL9495,,"1994-12-15 15:05:00",-64.78778,-64.07305,349,c,100,1,40.13,5.39,
PAL9495,,"1994-12-15 15:05:00",-64.78778,-64.07305,349,c,55,5.5,90.67,6.01,
PAL9495,,"1994-12-15 15:05:00",-64.78778,-64.07305,349,c,27,12,36.01,-999,
PAL9495,,"1994-12-15 15:05:00",-64.78778,-64.07305,349,c,11,21,32.88,-999,
PAL9495,,"1994-12-15 15:05:00",-64.78778,-64.07305,349,c,5,36,20.31,1.4,
PAL9495,,"1994-12-15 15:05:00",-64.78778,-64.07305,349,c,2,61,2.04,0.45,
PAL9495,,"1994-12-15 14:30:00",-64.80695,-64.04862,349,d,100,1,71.26,18.07,
PAL9495,,"1994-12-15 14:30:00",-64.80695,-64.04862,349,d,55,2,163.04,7.91,
PAL9495,,"1994-12-15 14:30:00",-64.80695,-64.04862,349,d,27,9,60.8,-999,
PAL9495,,"1994-12-15 14:00:00",-64.81667,-64.04167,349,e,100,1,75.5,2.83,
PAL9495,,"1994-12-15 14:00:00",-64.81667,-64.04167,349,e,55,3,107.9,110.66,
PAL9495,,"1994-12-15 14:00:00",-64.81667,-64.04167,349,e,27,7,104.36,30.12,
PAL9495,,"1994-12-15 14:00:00",-64.81667,-64.04167,349,e,11,12,32.94,-999,
PAL9495,,"1994-12-15 14:00:00",-64.81667,-64.04167,349,e,5,17.5,25.72,0.46,
PAL9495,,"1994-12-15 14:00:00",-64.81667,-64.04167,349,e,2,27.5,66.58,62.99,
PAL9495,,"1994-12-19 14:50:00",-64.77972,-64.07222,353,b,100,1,17.74,2.72,
PAL9495,,"1994-12-19 14:50:00",-64.77972,-64.07222,353,b,55,1.5,61.84,2.38,
PAL9495,,"1994-12-19 14:50:00",-64.77972,-64.07222,353,b,27,3,59.51,3.85,
PAL9495,,"1994-12-19 14:50:00",-64.77972,-64.07222,353,b,11,5,55.35,-999,
PAL9495,,"1994-12-19 14:50:00",-64.77972,-64.07222,353,b,5,9.5,25.79,6.41,
PAL9495,,"1994-12-19 14:50:00",-64.77972,-64.07222,353,b,2,15.5,14.12,0.77,
PAL9495,,"1994-12-19 14:15:00",-64.78862,-64.0725,353,c,100,1,13.94,0.23,
PAL9495,,"1994-12-19 14:15:00",-64.78862,-64.0725,353,c,55,4,108.1,9.96,
PAL9495,,"1994-12-19 14:15:00",-64.78862,-64.0725,353,c,27,8,64,0.77,
PAL9495,,"1994-12-19 14:15:00",-64.78862,-64.0725,353,c,11,14,51.59,-999,
PAL9495,,"1994-12-19 14:15:00",-64.78862,-64.0725,353,c,5,20,28.3,2.98,
PAL9495,,"1994-12-19 14:15:00",-64.78862,-64.0725,353,c,2,27,11.94,0.2,
