"studyName","Date","Chlorophyll a (µg/l)"
"PAL-LTER Derived Datasets",1991-12-03,1.21
"PAL-LTER Derived Datasets",1991-12-05,1.15
"PAL-LTER Derived Datasets",1991-12-10,0.59
"PAL-LTER Derived Datasets",1991-12-10,0.8
"PAL-LTER Derived Datasets",1991-12-11,1.03
"PAL-LTER Derived Datasets",1991-12-13,2.15
"PAL-LTER Derived Datasets",1991-12-16,2.28
"PAL-LTER Derived Datasets",1991-12-16,1.29
"PAL-LTER Derived Datasets",1991-12-18,0.59
"PAL-LTER Derived Datasets",1991-12-21,10.84
"PAL-LTER Derived Datasets",1991-12-21,9.37
"PAL-LTER Derived Datasets",1991-12-23,4.15
"PAL-LTER Derived Datasets",1991-12-23,5.43
"PAL-LTER Derived Datasets",1991-12-23,3.06
"PAL-LTER Derived Datasets",1991-12-27,8.99
"PAL-LTER Derived Datasets",1991-12-28,1.88
"PAL-LTER Derived Datasets",1991-12-28,3.25
"PAL-LTER Derived Datasets",1991-12-30,9.94
"PAL-LTER Derived Datasets",1991-12-30,9.32
"PAL-LTER Derived Datasets",1992-01-06,4.19
"PAL-LTER Derived Datasets",1992-01-07,5.9
"PAL-LTER Derived Datasets",1992-01-07,5.59
"PAL-LTER Derived Datasets",1992-01-09,13.96
"PAL-LTER Derived Datasets",1992-01-10,1.78
"PAL-LTER Derived Datasets",1992-01-10,3.76
"PAL-LTER Derived Datasets",1992-01-13,1.66
"PAL-LTER Derived Datasets",1992-01-13,1.97
"PAL-LTER Derived Datasets",1992-01-16,0.96
"PAL-LTER Derived Datasets",1992-01-17,0.55
"PAL-LTER Derived Datasets",1992-01-17,0.58
"PAL-LTER Derived Datasets",1992-01-18,0.03
"PAL-LTER Derived Datasets",1992-01-20,0.89
"PAL-LTER Derived Datasets",1992-01-24,0.58
"PAL-LTER Derived Datasets",1992-01-27,0.23
"PAL-LTER Derived Datasets",1992-01-27,0.28
"PAL-LTER Derived Datasets",1992-02-03,0.95
"PAL-LTER Derived Datasets",1992-02-03,0.77
"PAL-LTER Derived Datasets",1992-02-07,0.45
"PAL-LTER Derived Datasets",1992-02-07,0.34
"PAL-LTER Derived Datasets",1992-02-10,0.84
"PAL-LTER Derived Datasets",1992-02-10,1.02
"PAL-LTER Derived Datasets",1992-02-10,1
"PAL-LTER Derived Datasets",1992-02-17,1.87
"PAL-LTER Derived Datasets",1992-02-17,0.88
"PAL-LTER Derived Datasets",1992-02-17,0.88
"PAL-LTER Derived Datasets",1992-02-21,1.2
"PAL-LTER Derived Datasets",1992-02-21,0.67
"PAL-LTER Derived Datasets",1992-02-24,3.12
"PAL-LTER Derived Datasets",1992-02-24,0.97
"PAL-LTER Derived Datasets",1992-02-24,0.89
"PAL-LTER Derived Datasets",1992-11-07,0.7355
"PAL-LTER Derived Datasets",1992-11-09,0.2826
"PAL-LTER Derived Datasets",1992-11-17,0.7979
"PAL-LTER Derived Datasets",1992-11-17,0.7746
"PAL-LTER Derived Datasets",1992-11-20,26.9092
"PAL-LTER Derived Datasets",1992-11-23,1.4688
"PAL-LTER Derived Datasets",1992-11-24,1.1787
"PAL-LTER Derived Datasets",1992-11-25,1.632
"PAL-LTER Derived Datasets",1992-11-27,1.8677
"PAL-LTER Derived Datasets",1992-11-27,1.5595
"PAL-LTER Derived Datasets",1992-11-30,0.9067
"PAL-LTER Derived Datasets",1992-12-05,0.3507
"PAL-LTER Derived Datasets",1992-12-05,0.2809
"PAL-LTER Derived Datasets",1992-12-07,0.4035
"PAL-LTER Derived Datasets",1992-12-07,0.4358
"PAL-LTER Derived Datasets",1992-12-11,0.9973
"PAL-LTER Derived Datasets",1992-12-14,0.3047
"PAL-LTER Derived Datasets",1992-12-14,0.4597
"PAL-LTER Derived Datasets",1992-12-18,0.4273
"PAL-LTER Derived Datasets",1992-12-18,0.4052
"PAL-LTER Derived Datasets",1992-12-21,0.9248
"PAL-LTER Derived Datasets",1992-12-21,0.9248
"PAL-LTER Derived Datasets",1992-12-28,0.2622
"PAL-LTER Derived Datasets",1992-12-28,0.4988
"PAL-LTER Derived Datasets",1992-12-29,1.4507
"PAL-LTER Derived Datasets",1992-12-29,1.5413
"PAL-LTER Derived Datasets",1993-02-15,2.0128
"PAL-LTER Derived Datasets",1993-02-23,4.4832
"PAL-LTER Derived Datasets",1993-03-01,1.3056
"PAL-LTER Derived Datasets",1993-09-07,0.2723
"PAL-LTER Derived Datasets",1993-09-07,0.2615
"PAL-LTER Derived Datasets",1993-09-07,0.2527
"PAL-LTER Derived Datasets",1993-09-08,0.2937
"PAL-LTER Derived Datasets",1993-09-08,0.2743
"PAL-LTER Derived Datasets",1993-09-09,0.3299
"PAL-LTER Derived Datasets",1993-09-09,0.3098
"PAL-LTER Derived Datasets",1993-09-10,0.3058
"PAL-LTER Derived Datasets",1993-09-10,0.2615
"PAL-LTER Derived Datasets",1993-09-13,0.3491
"PAL-LTER Derived Datasets",1993-09-15,0.4073
"PAL-LTER Derived Datasets",1993-09-29,1.0476
"PAL-LTER Derived Datasets",1993-11-19,0.0313
"PAL-LTER Derived Datasets",1993-11-22,0.008
"PAL-LTER Derived Datasets",1993-11-22,0.0089
"PAL-LTER Derived Datasets",1993-11-23,0.0122
"PAL-LTER Derived Datasets",1993-11-27,0.0471
"PAL-LTER Derived Datasets",1993-11-29,0.0094
"PAL-LTER Derived Datasets",1993-11-29,0.0376
"PAL-LTER Derived Datasets",1993-12-02,2.0116
"PAL-LTER Derived Datasets",1993-12-06,0.4499
"PAL-LTER Derived Datasets",1993-12-10,1.2596
"PAL-LTER Derived Datasets",1993-12-13,1.2411
"PAL-LTER Derived Datasets",1993-12-13,1.2134
"PAL-LTER Derived Datasets",1993-12-17,0.3779
"PAL-LTER Derived Datasets",1993-12-21,1.6195
"PAL-LTER Derived Datasets",1993-12-21,1.5825
"PAL-LTER Derived Datasets",1993-12-23,3.2574
"PAL-LTER Derived Datasets",1993-12-27,2.3669
"PAL-LTER Derived Datasets",1993-12-27,2.9482
"PAL-LTER Derived Datasets",1994-01-03,0.4226
"PAL-LTER Derived Datasets",1994-01-03,0.2193
"PAL-LTER Derived Datasets",1994-02-14,0.7435
"PAL-LTER Derived Datasets",1994-02-17,0.72
"PAL-LTER Derived Datasets",1994-02-21,1.0289
"PAL-LTER Derived Datasets",1994-02-28,1.2042
"PAL-LTER Derived Datasets",1994-03-07,1.6287
"PAL-LTER Derived Datasets",1994-03-14,2.1039
"PAL-LTER Derived Datasets",1994-11-16,0.543
"PAL-LTER Derived Datasets",1994-11-22,1.2846
"PAL-LTER Derived Datasets",1994-12-05,4.3669
"PAL-LTER Derived Datasets",1994-12-08,0.7243
"PAL-LTER Derived Datasets",1994-12-16,0.9752
"PAL-LTER Derived Datasets",1994-12-19,2.4415
"PAL-LTER Derived Datasets",1994-12-21,1.7322
"PAL-LTER Derived Datasets",1994-12-26,0.1989
"PAL-LTER Derived Datasets",1995-01-02,0.5907
"PAL-LTER Derived Datasets",1995-01-02,0.622
"PAL-LTER Derived Datasets",1995-02-16,1.0861
