,index,studyName,eventNum,cast,bottle,datetime,stationID,gridLine,gridStation,lat,lon,percentIrradiance,depth,PO4,SiO4,NO2,NO3,NH4,Nitrite,notes,year,month,second
0,7681,LMG00-01,65.0,,23.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,100.0,3.0,1.38,82.85,0.15,20.18,0.51,-999.0,,2000,1,0
1,7682,LMG00-01,65.0,,21.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,60.0,3.5,1.38,82.97,0.15,20.04,0.59,-999.0,,2000,1,0
2,7683,LMG00-01,65.0,,19.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,30.0,6.3,1.37,83.42,0.16,20.08,0.46,-999.0,,2000,1,0
3,7684,LMG00-01,65.0,,17.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,10.0,10.1,1.38,83.53,0.16,20.41,0.45,-999.0,,2000,1,0
4,7685,LMG00-01,65.0,,15.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,5.0,12.3,1.44,83.32,0.15,21.0,0.81,-999.0,,2000,1,0
5,7686,LMG00-01,65.0,,13.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,1.0,25.1,1.72,87.7,0.11,24.97,1.73,-999.0,,2000,1,0
6,7687,LMG00-01,65.0,,12.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,48.0,2.03,94.87,0.11,31.34,0.51,-999.0,,2000,1,0
7,7688,LMG00-01,65.0,,11.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,98.7,2.13,101.06,0.05,33.59,0.29,-999.0,,2000,1,0
8,7689,LMG00-01,65.0,,10.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,147.6,2.12,102.82,0.0,33.73,0.03,-999.0,,2000,1,0
9,7690,LMG00-01,65.0,,9.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,198.1,2.12,104.26,0.0,33.73,0.04,-999.0,,2000,1,0
10,7691,LMG00-01,65.0,,8.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,297.0,2.12,104.71,0.0,33.73,0.04,-999.0,,2000,1,0
11,7692,LMG00-01,65.0,,7.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,395.2,2.25,107.47,0.0,33.91,0.02,-999.0,,2000,1,0
12,7693,LMG00-01,65.0,,6.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,494.4,2.22,105.95,0.01,33.67,0.05,-999.0,,2000,1,0
13,7694,LMG00-01,65.0,,5.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,643.6,2.2,106.4,0.0,33.63,0.07,-999.0,,2000,1,0
14,7695,LMG00-01,65.0,,4.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,791.8,2.19,107.67,0.0,33.62,0.06,-999.0,,2000,1,0
15,7696,LMG00-01,65.0,,3.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,989.5,2.18,106.81,0.0,33.62,0.11,-999.0,,2000,1,0
16,7697,LMG00-01,65.0,,2.0,2000-01-09 16:10:00,600.400,601.16,38.56,-64.93333,-64.4,-999.0,1137.3,2.17,106.44,0.01,33.61,0.14,-999.0,,2000,1,0
17,7698,LMG00-01,65.0,,1.0,2000-01-09 16:10:00,600.400,599.03,59.86,-64.93333,-64.4,-999.0,1351.9,2.12,105.08,0.01,33.56,0.15,-999.0,,2000,1,0
18,7699,LMG00-01,78.0,,23.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,100.0,2.7,1.48,83.87,0.14,20.93,1.87,-999.0,,2000,1,0
19,7700,LMG00-01,78.0,,22.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,60.0,3.0,1.49,84.05,0.14,20.99,1.79,-999.0,,2000,1,0
20,7701,LMG00-01,78.0,,19.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,30.0,8.3,1.5,84.22,0.14,21.04,1.86,-999.0,,2000,1,0
21,7702,LMG00-01,78.0,,17.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,10.0,16.3,1.57,84.4,0.15,21.23,2.54,-999.0,,2000,1,0
22,7703,LMG00-01,78.0,,15.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,5.0,24.1,1.6,84.57,0.14,21.71,2.59,-999.0,,2000,1,0
23,7704,LMG00-01,78.0,,13.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,1.0,35.9,1.66,84.58,0.13,23.16,2.14,-999.0,,2000,1,0
