"studyName","Datetime GMT","Event Number","Bottle Number","Station Name","Depth (m)","DIC 1 (µmol/kg)","DIC 2 (µmol/kg)","Alkalinity 1 (µEq/kg)","Alkalinity 2 (µEq/kg)","Notes"
PD93-01,"1993-01-08 09:20:00",1,12,"pal b",1,2142.4,-999,2293.7,-999,
PD93-01,"1993-01-08 09:20:00",1,12,palb,1,2137.3,-999,2285.6,-999,
PD93-01,"1993-01-08 12:14:00",3,9,"pal c",2,2139.1,-999,2286.6,-999,
PD93-01,"1993-01-08 13:35:00",4,8,"pal d",2,2141,-999,-999,-999,
PD93-01,"1993-01-08 15:12:00",5,12,"pal e",1.5,2140.7,-999,2284.6,-999,
PD93-01,"1993-01-08 16:50:00",6,12,"pal f",1.4,2143.9,-999,2278.2,-999,
PD93-01,"1993-01-08 18:40:00",7,12,"pal g",1,2139.6,-999,2284,-999,
PD93-01,"1993-01-08 19:51:00",8,12,"pal h",1.4,2146.3,-999,2291,-999,
PD93-01,"1993-01-08 21:25:00",9,12,"pal i",1,2056.1,-999,2312.5,-999,
PD93-01,"1993-01-08 23:00:00",10,12,"pal j",1,2137.8,-999,2294.4,-999,
PD93-01,"1993-01-09 09:36:00",20,12,600.04,1,2157.3,-999,2292.9,-999,
PD93-01,"1993-01-09 09:36:00",20,12,600.04,1,2138.2,-999,2287,-999,
PD93-01,"1993-01-09 13:35:00",23,12,600.06,1,2145.1,-999,2306.1,-999,
PD93-01,"1993-01-09 18:39:00",30,12,600.08,1,2159.2,-999,2305.1,-999,
PD93-01,"1993-01-10 00:50:00",38,12,600.1,1,2124.7,-999,2287.4,-999,
PD93-01,"1993-01-10 08:58:00",51,12,600.12,1,2153.4,-999,-999,-999,
PD93-01,"1993-01-10 12:16:00",55,12,600.14,1,2148.4,-999,2318.1,-999,
PD93-01,"1993-01-10 16:44:00",63,12,600.16,1,2148.5,-999,2313.3,-999,
PD93-01,"1993-01-10 21:17:00",71,11,600.18,1,2156.6,-999,2305.8,-999,
PD93-01,"1993-01-11 08:12:00",84,12,600.2,1,2151,-999,2323.3,-999,
PD93-01,"1993-01-11 19:25:00",91,12,600.18,2,2158.5,-999,2304.9,-999,
PD93-01,"1993-01-11 21:30:00",94,12,600.18,2,2156.6,-999,2311.1,-999,
PD93-01,"1993-01-11 23:30:00",97,12,600.18,2,2157.1,-999,2317.5,-999,
PD93-01,"1993-01-12 01:25:00",100,12,600.18,2,2155.7,-999,2304.1,-999,
PD93-01,"1993-01-12 05:28:00",104,12,600.18,1,2155.3,-999,2319.7,-999,
PD93-01,"1993-01-12 15:30:00",117,12,600.18,1,2155.7,-999,2314.1,-999,
PD93-01,"1993-01-13 00:17:00",126,12,500.18,2,2162.9,-999,2310.5,-999,
PD93-01,"1993-01-13 07:28:00",137,12,500.16,2,2159.9,-999,2309.7,-999,
PD93-01,"1993-01-13 11:15:00",144,12,500.14,1,2162.2,-999,2309.5,-999,
PD93-01,"1993-01-13 15:12:00",150,12,500.12,1,2154.2,-999,2318.3,-999,
PD93-01,"1993-01-13 19:33:00",154,12,500.1,1,2150.2,-999,2311.6,-999,
PD93-01,"1993-01-13 23:45:00",162,12,500.08,1,2158.3,-999,2310,-999,
PD93-01,"1993-01-14 09:19:00",176,12,500.06,1,2160.5,-999,2315.4,-999,
PD93-01,"1993-01-14 09:19:00",176,12,500.06,1,2155.1,-999,2295,-999,
PD93-01,"1993-01-15 11:27:00",194,12,600.04,1,2145.1,-999,2282.5,-999,
PD93-01,"1993-01-15 23:33:00",202,12,600.04,1,2152.4,-999,2297.6,-999,
PD93-01,"1993-01-16 11:27:00",211,12,600.04,2,2140.7,-999,2289.3,-999,
PD93-01,"1993-01-17 04:58:00",220,11,"pal j",1,2146.4,-999,-999,-999,
PD93-01,"1993-01-17 06:30:00",221,12,"pal I",1,2153.7,-999,2299.9,-999,
PD93-01,"1993-01-17 11:30:00",225,12,"pal e",1,2198,-999,2337.1,-999,
PD93-01,"1993-01-17 15:30:00",229,12,"pal b",1,2133,-999,2268.2,-999,
PD93-01,"1993-01-26 11:35:00",652,11,"pal e",1,2141,-999,2278.9,-999,
PD93-01,"1993-01-27 00:30:00",660,12,600.04,1,2128.6,-999,2273.2,-999,
PD93-01,"1993-01-27 06:59:00",661,12,500.08,1,2152.9,-999,2299.1,-999,
PD93-01,"1993-01-27 06:59:00",661,12,500.08,1,2154.8,-999,2318.5,-999,
PD93-01,"1993-01-27 06:59:00",661,12,500.08,1,2152.2,-999,2335.8,-999,
PD93-01,"1993-01-27 13:16:00",662,12,400.04,1,2109,-999,2277.6,-999,
PD93-01,"1993-01-27 17:19:00",670,12,400.06,5,2138.6,-999,2302.6,-999,
PD93-01,"1993-01-28 19:37:00",704,12,400.08,1,2148.9,-999,2306,-999,
PD93-01,"1993-01-28 23:32:00",712,12,400.1,3,2147.5,-999,2301.8,-999,
PD93-01,"1993-01-29 08:57:00",726,12,400.12,2,2146.4,-999,2302,-999,
PD93-01,"1993-01-29 13:27:00",735,12,400.14,1,2141.5,-999,2306.8,-999,
PD93-01,"1993-01-29 13:27:00",735,12,400.18,1,2141.3,-999,2307.6,-999,
PD93-01,"1993-01-29 15:35:00",737,12,400.16,1,2139.3,-999,2303.5,-999,
PD93-01,"1993-01-30 17:34:00",772,12,400.18,1,2144.4,-999,2303.9,-999,
PD93-01,"1993-01-30 23:05:00",780,12,400.2,1,2138,-999,2299,-999,
PD93-01,"1993-01-31 08:56:00",795,12,300.2,1.7,2155.5,-999,2304.2,-999,
PD93-01,"1993-01-31 08:56:00",795,12,300.2,1.7,2166.8,-999,2314.7,-999,
PD93-01,"1993-01-31 14:24:00",806,12,300.18,1,2159.9,-999,2302.1,-999,
PD93-01,"1993-01-31 16:33:00",808,12,300.16,1,2163.3,-999,-999,-999,
PD93-01,"1993-01-31 18:30:00",,,,1,2162.8,-999,2315.2,-999,
PD93-01,"1993-01-31 21:45:00",818,12,300.14,1,2170.5,-999,2301,-999,
PD93-01,"1993-02-01 07:58:00",833,11,300.12,1,2162.6,-999,2304.4,-999,
PD93-01,"1993-02-01 07:58:00",833,11,300.12,1,2147.7,-999,2301.8,-999,
PD93-01,"1993-02-01 13:13:00",841,12,300.1,1,2154.6,-999,2301,-999,
PD93-01,"1993-02-01 15:16:00",843,12,300.08,1,2121.2,-999,2273.2,-999,
PD93-01,"1993-02-01 20:07:00",851,12,300.06,1,2140.3,-999,2295.5,-999,
PD93-01,"1993-02-02 00:15:00",859,12,300.04,1,2121.1,-999,2267.3,-999,
PD93-01,"1993-02-02 16:04:00",869,12,200.2,1,2142.1,-999,2297.8,-999,
PD93-01,"1993-02-02 16:04:00",869,12,200.2,1,2135.3,-999,2299.4,-999,
PD93-01,"1993-02-02 22:28:00",879,12,200.16,1,2143,-999,2298.7,-999,
PD93-01,"1993-02-03 01:53:00",886,12,200.12,1,2135.5,-999,2293.3,-999,
PD93-01,"1993-02-03 05:21:00",892,12,200.08,1,2135.3,-999,2296.4,-999,
