Monthly Open Water Area (km^2) for new PAL sampling area (-200 to 600 lines)
Dataset: GSFC Bootstrap time series data (version 2.0) for 1/1979 to 12/2013, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Dec 2014; this version
        also has an updated landmask so values will differ slightly from previous
        releases of this time series
Nodata: -999.00
OW: open water area inside the ice edge (i.e., extent - area)
Caution: The 2014 monthly data are preliminary and will be updated when available

Year         Jan      Feb        Mar      Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec

1978	   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00  22352.67  27332.38
1979	  31016.38  37880.91  31375.78  42486.32  63562.44  36812.34  24036.56  21374.27  15189.12  26114.58  23709.22  34497.02
1980	  33366.31  35569.35  36471.77  62038.73  46936.95  33505.03  16154.28  12836.83  13998.66   9272.17  24599.00  70219.95
1981	  47136.87  33785.89  21327.93  58617.96  57931.31  33164.81  31116.78  23761.09  20294.75  19594.30  43270.16  42347.59
1982	  40279.99  32753.49  21367.54  40007.27  42819.32  48057.14  33164.28  15583.27  16120.75  21669.97  35668.48  52509.42
1983	  34468.58  20308.34  23667.12  24293.67  33589.52  66004.64  41593.61  63391.70  52481.38  54012.56  37977.59  29629.55
1984	  22726.44  18237.42   8977.08  14156.19  48160.20  49555.91  25366.52  23177.95  47167.58  42220.16  35490.41  41746.05
1985	  25651.62  13983.04  11091.96  12512.75  44076.69  46011.07  49882.50  36551.25  51228.92  39289.80  24375.30  29032.45
1986	  31455.52  17950.07  17579.97  19213.63  64364.38  51550.80  41459.89  16820.39  10166.23   9352.44  19404.53  41436.61
1987	  45560.30  43676.61  28126.45  46741.21  53258.91  46302.75  12507.02   9000.44  15603.84  25411.86  28203.86  20216.54
1988	  22561.36  17321.90  15124.85  22583.62  48589.44  59243.27  41925.19  30871.97  22765.98  45168.17  39565.18  28990.84
1989	   8754.09   4074.52   1389.79  15654.41  26509.02  44587.50  42097.08  55684.06  56602.78  38754.28  26429.49   9392.52
1990	   5708.37   2250.04    887.41  13015.21  28724.02  56054.98  40792.50  44601.77  18900.47  19077.73  28714.47  68332.68
1991	   9693.21   3878.16      0.00      0.00  70381.36  33593.22  27860.86  13175.95  20677.05  25583.75  37574.86  29629.83
1992	  38225.52  26163.92  39377.09  37731.31  54202.25  38412.86  12472.56  22038.58  47894.97  73309.18  46901.10  20840.98
1993	  18848.40  10756.45  12328.73  19011.30  46172.04  42306.19  39841.94  81545.12  32575.05  21194.69  65848.91  28940.73
1994	  22713.64  11480.59  13553.28  11197.92  41932.08  33641.12  30546.33  11560.66  27835.94  21077.00  63168.84  36284.70
1995	  21943.41   8777.30   9753.10  20200.43  57880.09  59087.41  23384.25   9827.14  11174.28  28395.59  38786.89  31854.57
1996	  23726.93  13694.76  13629.76  13265.71  30220.44  56274.24  37889.31  18270.98  48364.19  40014.27  31406.66  42104.63
1997	  17051.94  13294.69   6957.21  20080.44  51783.95  70337.01  28528.89  24116.42  16220.03  32451.27  63256.00  28527.47
1998	  13506.71   6432.51   5424.33   6098.17  61251.96  72582.75  53394.95  78892.46  38961.75  54316.45  43740.00  49863.61
1999	   5102.65   3018.22   1399.05   2550.92   3496.85  65499.62  36969.24  23773.38  21894.91  33453.53  75830.62  25623.27
2000	  23227.04  12816.79   6590.25   9212.87  29684.85  71425.88  52629.52  43110.50  31036.84  33562.08  30614.51  22491.58
2001	  29390.17   1838.87    845.15   5423.38  10124.70  55911.59  45360.61  25399.56  19128.28  49971.48  30543.66  21549.24
2002	  21667.61  16236.93  20162.10  13871.47  66566.89  28101.69  22113.27  28099.36  30007.17  36531.64  46529.61  55173.47
2003	  13512.89  10363.42   4534.20   4687.75  40664.43  42062.54  50909.41  57032.77  31621.61  34491.83  35096.81  58935.75
2004	  14033.91   2498.60    917.59    905.51  41944.64  42856.91  37382.14  18239.39  14471.19   9778.53  26491.17  25138.16
2005	  33264.30  29086.97  18572.54  37369.57  39863.24  44682.83  25745.44  11850.61  11580.64  37075.73  28343.88  43032.20
2006	  21226.67  17508.45  10900.12  13575.89  44190.91  67128.76  56317.88  26524.73  29931.64  55689.33  29678.46  27991.01
2007	   9547.72   4401.15    511.29  14627.87  20197.41  45781.56  50640.92  34887.12  59230.98  58111.66  40724.80  26718.20
2008	   5787.59   2347.29   2119.98   2034.32   9010.93  34918.63  56275.48  52838.39  80953.72  44639.77  28517.81  12214.56
2009	   6550.90   5419.42   2264.68   8862.71   5813.67  40193.04  57711.59  49825.59  28023.91  40890.00  47179.72  54284.46
2010	   9383.68   4236.77   2210.60   4310.82  33340.17  57887.52  55578.58  33634.30  55103.25  40135.99  23699.06  22395.99
2011	   7796.25   3449.71   2699.67  11720.38  21849.06  50487.41  48176.44  13550.69  18520.59  30116.75  28167.23  23796.47
2012	  27073.79  15367.07   7277.15   8126.91  24536.31  42678.16  31078.25  35432.22  39819.41  40068.03  39354.23  72102.66
2013	  22255.25   3335.66   2583.46   2222.84  42578.67  36607.06  34586.75  19554.27  10954.97  30500.70  21655.23  40969.77
2014	  59393.72  21116.81   7207.75  22035.56  43889.30  46041.91  61472.41  23689.84  29106.41  28088.33  39516.33  51385.83
